Token,Emotions,EmotionCount
zuvor,"admiration, annoyance, excitement, grief, neutral, realization",6
gerettet,"gratitude, neutral, realization, relief",4
spricht,"admiration, annoyance, gratitude, neutral, surprise",5
wunsch,"admiration, annoyance, desire, disappointment, gratitude, joy, neutral, realization, sadness",9
schönsten,"admiration, neutral",2
öffnet,"love, neutral",2
vater,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, fear, gratitude, grief, joy, love, neutral, optimism, pride, realization, relief, sadness, surprise",25
währenddessen,"joy, neutral, realization, sadness",4
seite,"amusement, embarrassment, joy, love, neutral, surprise",6
waldes,"admiration, disgust, embarrassment, fear, neutral",5
getroffen,"neutral, sadness",2
gemeinsam,"approval, gratitude, joy, neutral, sadness",5
wirtshaus,"approval, fear, joy, neutral",4
nahe,"admiration, excitement, neutral, realization",4
gelegenen,"excitement, neutral",2
vergnügen,"neutral, realization",2
bruder,"anger, disappointment, embarrassment, fear, love, neutral, optimism, realization, sadness",9
schönen,"admiration, curiosity, gratitude, joy, neutral, remorse",6
findet,"admiration, annoyance, joy, neutral, realization, sadness",6
pakt,"anger, neutral",2
leben,"admiration, amusement, anger, annoyance, approval, caring, curiosity, desire, disappointment, disgust, fear, gratitude, grief, joy, love, neutral, realization, sadness",18
untertanin,"love, neutral",2
alten,"admiration, amusement, anger, annoyance, caring, curiosity, disappointment, fear, joy, love, neutral, realization, sadness",13
roten,"admiration, nervousness, neutral, surprise",4
geschenk,"admiration, desire, disappointment, gratitude, joy, neutral, realization, sadness",8
gustavs,"gratitude, joy, neutral",3
kurz,"admiration, excitement, fear, grief, love, neutral, realization",7
nacheinander,"disappointment, neutral",2
bekommt,"approval, disappointment, excitement, fear, gratitude, grief, nervousness, neutral, surprise",9
rät,"disapproval, neutral",2
allein,"admiration, amusement, anger, annoyance, curiosity, desire, grief, love, nervousness, neutral, sadness",11
entscheidung,"admiration, annoyance, neutral",3
diesmal,"admiration, anger, disgust, joy, love, neutral, sadness",7
sollen,"caring, fear, neutral, sadness",4
ring,"admiration, approval, disgust, gratitude, joy, neutral, optimism, realization, remorse, sadness, surprise",11
wege,"approval, caring, joy, neutral",4
weisen,"admiration, annoyance, caring, neutral",4
erneut,"admiration, amusement, anger, approval, neutral, sadness",6
denen,"disapproval, excitement, neutral",3
zwei,"admiration, annoyance, caring, curiosity, disgust, embarrassment, fear, gratitude, neutral, pride, realization, sadness",12
zusammen,"admiration, approval, caring, disappointment, joy, love, neutral, sadness",8
führen,"fear, neutral, surprise",3
besorgt,"caring, neutral",2
mann,"admiration, annoyance, approval, confusion, curiosity, desire, disappointment, disgust, fear, grief, joy, love, neutral, realization, relief, remorse, sadness, surprise",18
pfeife,"annoyance, neutral",2
trifft,"admiration, approval, fear, neutral, surprise",5
fluss,"anger, approval, curiosity, disgust, joy, neutral, optimism, pride",8
mädchen,"admiration, amusement, anger, approval, caring, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, neutral, realization, sadness, surprise",20
kleid,"admiration, amusement, annoyance, caring, curiosity, disgust, gratitude, love, neutral, realization, sadness, surprise",12
trägt,"admiration, gratitude, neutral, realization, sadness",5
sitzt,"admiration, curiosity, disapproval, gratitude, joy, love, neutral, sadness",8
beiden,"admiration, amusement, anger, annoyance, confusion, disappointment, disgust, fear, joy, love, neutral, realization, sadness",13
beginnen,"approval, excitement, neutral, realization",4
stellt,"annoyance, fear, neutral, surprise",4
heraus,"admiration, anger, annoyance, caring, fear, joy, love, neutral, realization, relief, sadness",11
damals,"fear, neutral, sadness",3
lassen,"admiration, anger, annoyance, caring, disgust, fear, love, neutral",8
blonde,"desire, love, neutral",3
verhindert,"neutral, realization",2
koch,"admiration, annoyance, neutral, realization",4
schlachten,"neutral, sadness",2
wächter,"gratitude, neutral",2
fürsten,"joy, neutral, realization",3
dennoch,"annoyance, joy, neutral, sadness",4
möchte,"admiration, caring, desire, disappointment, disapproval, fear, neutral",7
weder,"admiration, annoyance, desire, neutral, optimism",5
namen,"admiration, amusement, disappointment, excitement, gratitude, love, neutral, realization",8
verraten,"anger, caring, neutral",3
gesicht,"admiration, anger, confusion, curiosity, disgust, joy, nervousness, neutral, realization, sadness",10
zeigen,"caring, neutral",2
beide,"admiration, annoyance, approval, joy, love, neutral, optimism",7
freiheit,"approval, curiosity, desire, joy, neutral",5
zieht,"neutral, sadness",2
daraufhin,"admiration, caring, disgust, gratitude, grief, neutral, realization",7
maul,"disgust, love, neutral",3
diamanten,"neutral, sadness",2
präsentiert,"annoyance, neutral",2
zunge,"approval, disgust, neutral",3
nimmt,"admiration, annoyance, caring, disappointment, disgust, grief, neutral, surprise",8
bekommen,"admiration, amusement, caring, gratitude, joy, neutral",6
fingern,"joy, neutral, sadness",3
begeistert,"excitement, neutral",2
herz,"admiration, amusement, anger, annoyance, approval, caring, confusion, disgust, fear, gratitude, joy, love, neutral, optimism, pride, realization, sadness, surprise",18
glück,"admiration, amusement, annoyance, approval, curiosity, desire, disappointment, fear, gratitude, joy, love, neutral, optimism, realization, sadness",15
stehen,"admiration, amusement, annoyance, confusion, embarrassment, joy, neutral, sadness",8
bleibt,"anger, caring, fear, neutral, optimism, sadness",6
überzeugen,"admiration, neutral",2
bald,"admiration, anger, annoyance, caring, curiosity, disgust, excitement, fear, gratitude, joy, love, neutral, optimism, pride, realization, sadness",16
darauf,"admiration, amusement, anger, annoyance, caring, curiosity, disapproval, disgust, embarrassment, gratitude, grief, joy, love, neutral, realization, surprise",16
letzte,"admiration, anger, caring, gratitude, love, neutral, surprise",7
wer,"admiration, amusement, annoyance, approval, caring, curiosity, disapproval, fear, gratitude, joy, love, nervousness, neutral, optimism, realization, sadness",16
wind,"admiration, approval, curiosity, fear, joy, neutral, realization, relief, sadness",9
dritte,"annoyance, curiosity, fear, neutral, surprise",5
führt,"annoyance, joy, neutral",3
erwählt,"love, neutral",2
erklärt,"caring, love, neutral, sadness",4
dritten,"caring, nervousness, neutral",3
jedoch,"admiration, amusement, annoyance, approval, joy, nervousness, neutral, optimism, sadness, surprise",10
schon,"admiration, anger, annoyance, approval, caring, confusion, curiosity, desire, disgust, embarrassment, fear, joy, love, nervousness, neutral, pride, realization, sadness, surprise",19
halb,"admiration, neutral, sadness",3
junge,"admiration, amusement, annoyance, approval, desire, disappointment, disapproval, embarrassment, fear, gratitude, joy, love, neutral, realization, sadness, surprise",16
grünem,"fear, neutral",2
sinn,"admiration, desire, neutral, realization",4
zauber,"admiration, annoyance, approval, gratitude, joy, love, neutral, optimism, sadness, surprise",10
reiten,"fear, neutral, sadness",3
nachdem,"admiration, anger, gratitude, neutral, sadness",5
wenig,"admiration, annoyance, approval, joy, neutral",5
konnten,"admiration, anger, neutral",3
entzückt,"love, neutral",2
jungen,"admiration, anger, annoyance, approval, caring, curiosity, desire, disappointment, disgust, embarrassment, fear, gratitude, grief, joy, neutral, optimism, realization, sadness",18
letztes,"love, neutral",2
mal,"admiration, amusement, annoyance, curiosity, fear, gratitude, love, neutral, relief, sadness",10
versuchen,"amusement, annoyance, approval, love, neutral, sadness",6
schönheit,"admiration, annoyance, curiosity, desire, fear, neutral, optimism, realization",8
reich,"admiration, amusement, annoyance, approval, caring, disappointment, disgust, grief, joy, love, neutral, realization",12
schloss,"admiration, amusement, anger, annoyance, caring, disappointment, embarrassment, excitement, fear, gratitude, joy, love, nervousness, neutral, realization, sadness, surprise",17
dorf,"admiration, amusement, approval, caring, disapproval, excitement, fear, joy, love, neutral, realization, relief, sadness",13
komme,"disappointment, joy, neutral",3
verkündet,"admiration, amusement, neutral",3
aufgaben,"amusement, annoyance, approval, desire, neutral",5
erfüllt,"admiration, desire, disappointment, joy, love, neutral, pride, sadness",8
sowie,"disapproval, neutral, surprise",3
schickt,"embarrassment, fear, gratitude, neutral",4
arbeiten,"anger, grief, love, neutral, sadness",5
lässt,"admiration, approval, caring, desire, disappointment, fear, joy, love, neutral, realization, sadness, surprise",12
sohn,"admiration, amusement, caring, confusion, disapproval, disgust, fear, gratitude, joy, love, neutral, optimism, realization, sadness",14
platz,"fear, neutral, realization, sadness",4
nehmen,"admiration, anger, annoyance, caring, confusion, neutral, relief, sadness",8
sieht,"admiration, fear, joy, love, neutral, optimism, sadness, surprise",8
lange,"admiration, anger, annoyance, approval, caring, curiosity, desire, disappointment, embarrassment, fear, joy, love, neutral, pride, realization, sadness, surprise",17
hand,"admiration, amusement, annoyance, approval, caring, disgust, embarrassment, fear, gratitude, joy, love, neutral, optimism, realization, sadness",15
tanzen,"admiration, amusement, anger, disapproval, disgust, embarrassment, joy, love, neutral, sadness",10
später,"admiration, annoyance, approval, confusion, disappointment, love, neutral, realization",8
königin,"admiration, amusement, anger, annoyance, approval, curiosity, desire, disappointment, disapproval, embarrassment, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, realization, remorse, sadness, surprise",22
krank,"curiosity, love, neutral, sadness",4
wurde,"admiration, amusement, anger, annoyance, disapproval, disgust, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, pride, realization, sadness, surprise",18
gestorben,"admiration, grief, neutral, realization, sadness",5
könig,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, pride, realization, relief, remorse, sadness, surprise",28
schöne,"admiration, caring, curiosity, desire, disappointment, joy, neutral, realization, remorse, sadness",10
zweiten,"admiration, disgust, nervousness, neutral, realization",5
frau,"admiration, amusement, anger, annoyance, approval, caring, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, realization, sadness, surprise",24
neue,"admiration, annoyance, disappointment, excitement, neutral, realization, remorse",7
macht,"admiration, amusement, annoyance, approval, caring, curiosity, desire, disappointment, fear, joy, love, nervousness, neutral, optimism, realization, sadness",16
kehrt,"neutral, sadness",2
nie,"approval, disappointment, disgust, joy, love, neutral, realization, sadness, surprise",9
zurück,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disappointment, disgust, excitement, fear, gratitude, joy, love, neutral, realization, remorse, sadness, surprise",19
schneewittchen,"admiration, anger, annoyance, approval, curiosity, disapproval, excitement, fear, gratitude, grief, joy, love, neutral, optimism, realization, sadness, surprise",17
lernt,"neutral, optimism",2
namens,"admiration, annoyance, desire, grief, joy, neutral, realization",7
jonathan,"gratitude, neutral",2
kennen,"joy, neutral",2
schlosses,"admiration, desire, gratitude, neutral, surprise",5
essen,"admiration, anger, approval, disappointment, fear, joy, love, neutral, realization",9
freunde,"admiration, annoyance, caring, fear, neutral, sadness",6
stehlen,"anger, neutral, optimism, sadness",4
fliehen,"disappointment, fear, neutral, sadness",4
bittet,"anger, annoyance, desire, disappointment, fear, gratitude, love, neutral",8
stiefmutter,"admiration, anger, annoyance, disgust, excitement, fear, grief, joy, neutral, realization, relief, sadness",12
untertanen,"disappointment, neutral",2
freundlich,"admiration, annoyance, disgust, joy, love, neutral, sadness",7
behandeln,"fear, neutral",2
gleichgültig,"joy, neutral",2
böse,"admiration, anger, annoyance, curiosity, disappointment, disgust, embarrassment, fear, neutral, realization, sadness, surprise",12
befiehlt,"annoyance, neutral",2
eifersüchtig,"confusion, neutral",2
schneewittchens,"admiration, neutral",2
jäger,"admiration, anger, curiosity, disappointment, disgust, joy, love, neutral, realization, sadness, surprise",11
absichten,"disappointment, neutral",2
weiß,"admiration, approval, caring, confusion, desire, disapproval, excitement, joy, love, neutral, optimism, realization, sadness, surprise",14
hütte,"admiration, annoyance, curiosity, excitement, fear, joy, love, neutral, realization, sadness",10
sieben,"admiration, amusement, annoyance, approval, curiosity, desire, excitement, fear, gratitude, joy, love, neutral, realization, sadness, surprise",15
zwergen,"admiration, love, neutral, sadness",4
happy,"joy, neutral",2
gehört,"caring, curiosity, disappointment, fear, gratitude, neutral, realization",7
tage,"admiration, caring, joy, neutral, relief",5
verbringen,"amusement, love, neutral",3
erfährt,"admiration, anger, fear, love, neutral, remorse, sadness, surprise",8
lebt,"admiration, annoyance, joy, neutral, sadness",5
wachen,"admiration, caring, fear, neutral",4
treffen,"disappointment, love, neutral, realization, sadness",5
erkennen,"curiosity, neutral, realization",3
bevor,"admiration, approval, confusion, disappointment, fear, joy, neutral, realization, sadness",9
glaubt,"annoyance, caring, neutral",3
gefangen,"anger, fear, neutral, sadness",4
genommen,"anger, curiosity, neutral, remorse",4
mittlerweile,"approval, neutral",2
herausgefunden,"admiration, neutral",2
verwandelt,"anger, annoyance, fear, gratitude, love, neutral, realization, sadness",8
apfel,"love, neutral",2
fluch,"admiration, annoyance, desire, embarrassment, fear, gratitude, love, neutral, sadness",9
todes,"disappointment, neutral, sadness",3
zwerge,"admiration, anger, annoyance, curiosity, joy, love, neutral, realization, sadness",9
arbeit,"admiration, amusement, annoyance, approval, caring, confusion, curiosity, disappointment, fear, joy, neutral, optimism, realization",13
gegangen,"approval, grief, joy, neutral",4
häuschen,"admiration, curiosity, joy, love, neutral",5
sei,"admiration, anger, annoyance, caring, curiosity, disapproval, embarrassment, fear, gratitude, grief, joy, love, neutral, optimism, realization, sadness, surprise",17
stieftochter,"admiration, joy, neutral",3
getötet,"anger, disappointment, disgust, neutral, realization",5
gebracht,"admiration, annoyance, curiosity, neutral, realization, sadness",6
süden,"desire, neutral",2
tod,"admiration, amusement, anger, annoyance, approval, caring, grief, joy, love, neutral, realization, sadness",12
fällt,"admiration, approval, curiosity, disgust, embarrassment, neutral, sadness",7
zurückzieht,"disappointment, neutral",2
finden,"admiration, annoyance, approval, caring, desire, disappointment, disapproval, neutral, sadness",9
körper,"neutral, sadness",2
rückkehr,"disappointment, joy, neutral",3
erwacht,"admiration, annoyance, neutral, realization",4
stürzen,"anger, neutral",2
kammer,"caring, curiosity, joy, neutral",4
tritt,"curiosity, neutral",2
spiegel,"admiration, approval, curiosity, disgust, fear, grief, love, neutral, sadness",9
zerstört,"annoyance, disappointment, neutral",3
quelle,"nervousness, neutral",2
kräfte,"annoyance, neutral",2
glas,"fear, joy, neutral, optimism, sadness",5
verschwindet,"neutral, realization",2
zauberspiegel,"admiration, disappointment, neutral",3
heiraten,"annoyance, desire, disapproval, excitement, joy, love, neutral",7
hans,"admiration, amusement, anger, annoyance, approval, caring, curiosity, embarrassment, fear, gratitude, joy, love, neutral, optimism, realization, sadness, surprise",17
jahren,"admiration, amusement, anger, approval, caring, disappointment, joy, love, neutral, sadness",10
lehre,"neutral, realization",2
mutter,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disappointment, disapproval, embarrassment, gratitude, grief, joy, love, neutral, optimism, realization, sadness",18
ans,"admiration, joy, love, neutral, realization",5
meer,"annoyance, approval, joy, love, neutral",5
zurückkehren,"joy, neutral",2
lohn,"admiration, annoyance, desire, disapproval, fear, neutral, remorse, sadness",8
erhält,"admiration, disappointment, excitement, neutral, remorse, surprise",6
klumpen,"neutral, surprise",2
gold,"admiration, anger, annoyance, caring, curiosity, disapproval, excitement, fear, gratitude, love, neutral, sadness, surprise",13
froh,"curiosity, joy, neutral, relief",4
gelaunt,"admiration, neutral",2
langen,"caring, curiosity, gratitude, love, neutral, pride",6
unterwegs,"caring, gratitude, neutral",3
händler,"disappointment, neutral",2
tochter,"admiration, amusement, anger, annoyance, curiosity, desire, disappointment, disapproval, excitement, fear, gratitude, joy, love, neutral, optimism, realization, sadness, surprise",18
elisabeth,"annoyance, approval, gratitude, joy, neutral, realization, surprise",7
handel,"approval, fear, joy, neutral",4
treiben,"disappointment, neutral",2
großen,"admiration, amusement, curiosity, disappointment, fear, joy, love, nervousness, neutral, realization, sadness",11
goldklumpen,"annoyance, disappointment, neutral, realization",4
unangenehm,"embarrassment, neutral",2
reise,"approval, caring, neutral, realization, sadness",5
erste,"admiration, amusement, approval, curiosity, disapproval, excitement, love, neutral, optimism",9
gelegenheit,"annoyance, neutral",2
tausch,"disappointment, neutral",2
beim,"admiration, desire, excitement, gratitude, joy, nervousness, neutral, realization, sadness, surprise",10
goldes,"anger, neutral",2
pferd,"admiration, anger, annoyance, approval, caring, curiosity, desire, disappointment, disgust, joy, love, neutral, optimism, realization, surprise",15
glücklich,"amusement, desire, joy, love, neutral, optimism, realization, sadness",8
mehr,"admiration, anger, annoyance, approval, confusion, curiosity, desire, disappointment, fear, grief, joy, love, neutral, optimism, realization, sadness, surprise",17
selber,"admiration, desire, disgust, embarrassment, love, neutral",6
laufen,"admiration, anger, annoyance, curiosity, disappointment, embarrassment, neutral, sadness, surprise",9
müssen,"admiration, annoyance, caring, fear, neutral, sadness",6
schneller,"admiration, neutral, pride",3
schwer,"anger, disappointment, fear, joy, neutral, realization, sadness",7
tragen,"admiration, annoyance, confusion, gratitude, neutral, realization, sadness",7
zufrieden,"admiration, disappointment, joy, neutral",4
ab,"admiration, anger, annoyance, disapproval, disgust, joy, neutral, sadness",8
bauer,"approval, fear, joy, neutral",4
kuh,"admiration, love, neutral, realization, surprise",5
tier,"admiration, anger, annoyance, caring, disgust, gratitude, love, nervousness, neutral, realization",10
besitzen,"admiration, love, neutral",3
milch,"admiration, love, neutral, realization",4
geben,"admiration, annoyance, caring, desire, disapproval, love, neutral, sadness",8
danach,"admiration, annoyance, curiosity, desire, neutral",5
ende,"amusement, annoyance, approval, caring, disappointment, grief, joy, love, neutral, optimism, realization, sadness, surprise",13
tages,"admiration, amusement, anger, caring, curiosity, desire, disappointment, disgust, grief, joy, neutral, optimism, pride, realization, sadness, surprise",16
trinken,"admiration, anger, annoyance, approval, disapproval, gratitude, joy, love, nervousness, neutral, realization",11
erst,"admiration, anger, annoyance, curiosity, fear, love, nervousness, neutral, optimism, realization",10
bemerkt,"gratitude, neutral, realization, sadness",4
gar,"admiration, amusement, anger, annoyance, curiosity, disapproval, disgust, fear, joy, love, nervousness, neutral, sadness",13
gibt,"admiration, disappointment, embarrassment, excitement, gratitude, joy, love, neutral, realization, sadness, surprise",11
schwein,"fear, neutral",2
karl,"admiration, neutral",2
erkennt,"admiration, annoyance, curiosity, joy, love, neutral, realization",7
einfach,"embarrassment, neutral",2
erzählt,"admiration, approval, confusion, excitement, neutral, sadness",6
wäre,"admiration, anger, annoyance, approval, caring, curiosity, desire, disgust, embarrassment, fear, joy, love, neutral, realization, sadness, surprise",16
deshalb,"annoyance, caring, disapproval, love, neutral, pride",6
gans,"admiration, amusement, annoyance, curiosity, fear, gratitude, joy, neutral",8
weiteren,"neutral, surprise",2
scherenschleifer,"joy, neutral",2
mühsam,"anger, neutral",2
kommt,"admiration, annoyance, approval, curiosity, disappointment, disapproval, disgust, excitement, fear, gratitude, joy, love, neutral, realization, sadness",15
brunnen,"admiration, amusement, curiosity, disapproval, disgust, gratitude, joy, neutral, realization, sadness",10
schleifstein,"joy, neutral",2
hinein,"admiration, anger, curiosity, disgust, excitement, joy, neutral, sadness",8
drosselbart,"admiration, amusement, annoyance, curiosity, embarrassment, neutral, optimism, remorse",8
königstochter,"admiration, amusement, annoyance, caring, curiosity, disappointment, fear, joy, love, neutral, realization, sadness",12
verspottet,"admiration, neutral",2
bewerber,"disappointment, neutral",2
bemerkung,"gratitude, neutral",2
reichen,"admiration, annoyance, fear, love, neutral",5
wegen,"admiration, anger, disgust, joy, neutral, sadness",6
„,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, joy, love, nervousness, neutral, optimism, realization, remorse, sadness, surprise",24
“,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, realization, remorse, sadness, surprise",25
prinzessin,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, neutral, realization, remorse, sadness, surprise",24
endlich,"admiration, anger, annoyance, caring, curiosity, desire, joy, love, neutral, optimism, realization, sadness",12
verheiraten,"desire, neutral, realization",3
geld,"admiration, annoyance, approval, disappointment, joy, neutral",6
langsam,"annoyance, approval, neutral",3
reagiert,"annoyance, disgust, fear, neutral",4
ersten,"admiration, amusement, anger, annoyance, curiosity, disgust, gratitude, love, nervousness, neutral, realization, sadness",12
bettler,"anger, annoyance, disapproval, joy, love, neutral, realization, sadness, surprise",9
nächsten,"admiration, caring, curiosity, desire, disappointment, disapproval, excitement, gratitude, joy, nervousness, neutral, realization, sadness",13
morgen,"admiration, amusement, curiosity, disappointment, embarrassment, fear, gratitude, joy, love, neutral, realization, sadness, surprise",13
schloß,"admiration, amusement, neutral",3
plan,"approval, neutral",2
verkleidet,"anger, annoyance, disgust, love, neutral, realization",6
stelle,"annoyance, caring, love, neutral",4
schwur,"anger, neutral",2
fühlt,"joy, love, neutral, pride, realization",5
prächtigen,"admiration, fear, neutral, surprise",4
wissen,"admiration, caring, curiosity, desire, fear, love, neutral",7
wem,"annoyance, caring, curiosity, neutral, realization",5
gehöre,"annoyance, curiosity, disgust, neutral",4
antwortet,"admiration, neutral",2
meint,"admiration, annoyance, approval, confusion, disapproval, embarrassment, gratitude, joy, love, neutral, optimism, realization, sadness",13
oh,"gratitude, neutral",2
arme,"admiration, amusement, caring, disgust, grief, joy, nervousness, neutral, sadness",9
jungfrau,"admiration, desire, disgust, excitement, fear, neutral, realization, sadness",8
zart,"admiration, neutral",2
hätt,"admiration, neutral, surprise",3
drosselbart.,"annoyance, neutral",2
spiel,"approval, fear, neutral, realization",4
wiederholt,"annoyance, neutral",2
königs,"admiration, anger, curiosity, disappointment, disapproval, embarrassment, joy, love, neutral, optimism, pride, realization, sadness, surprise",14
gewohnt,"love, neutral",2
sofort,"admiration, caring, curiosity, love, neutral, realization, sadness",7
hart,"amusement, neutral, pride, sadness",4
dinge,"admiration, caring, joy, neutral, optimism",5
entsetzen,"neutral, realization",2
wider,"admiration, neutral, sadness",3
erwarten,"excitement, gratitude, neutral, sadness",4
schicksal,"admiration, caring, disappointment, neutral, optimism, realization, sadness",7
versucht,"anger, approval, disappointment, disgust, fear, neutral, realization, sadness",8
bewältigen,"approval, neutral",2
besonders,"admiration, approval, disgust, nervousness, neutral, sadness",6
gut,"admiration, caring, disapproval, disgust, fear, gratitude, love, neutral, realization, sadness",10
geschirr,"admiration, curiosity, neutral",3
menschen,"admiration, amusement, anger, annoyance, approval, curiosity, desire, disapproval, disgust, fear, joy, love, neutral, optimism, realization, sadness",16
verkaufen,"admiration, desire, neutral",3
mannes,"admiration, disapproval, joy, neutral, optimism",5
küchenmagd,"annoyance, embarrassment, neutral",3
großem,"disgust, neutral",2
hält,"caring, curiosity, disapproval, joy, neutral, surprise",6
zeit,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disappointment, disgust, gratitude, joy, love, neutral, realization, sadness, surprise",16
gekommen,"admiration, anger, caring, curiosity, excitement, joy, love, nervousness, neutral, optimism, realization, sadness",12
tatsächlich,"admiration, approval, neutral, surprise",4
verheiratet,"love, neutral",2
prachtvollen,"desire, neutral",2
hochzeit,"admiration, amusement, caring, disappointment, disgust, excitement, joy, love, neutral, realization, surprise",11
standesgemäß,"disapproval, neutral",2
ähnlich,"love, neutral, sadness",3
inzwischen,"admiration, annoyance, caring, grief, neutral, optimism, realization, sadness",8
erscheint,"admiration, amusement, annoyance, caring, desire, disapproval, joy, love, neutral, surprise",10
festlich,"joy, neutral",2
gekleidet,"admiration, joy, neutral",3
strahlend,"admiration, love, neutral",3
gevatter,"annoyance, love, neutral",3
kind,"admiration, amusement, anger, annoyance, approval, caring, desire, disappointment, disapproval, disgust, excitement, fear, grief, joy, love, nervousness, neutral, optimism, realization, sadness",20
jörg,"grief, neutral",2
gott,"admiration, amusement, desire, disappointment, fear, gratitude, love, neutral, realization, sadness, surprise",11
teufel,"amusement, anger, annoyance, caring, confusion, curiosity, disappointment, disgust, fear, gratitude, love, neutral, realization",13
abgelehnt,"disappointment, neutral",2
mache,"admiration, caring, neutral",3
verführen,"approval, neutral",2
paten,"annoyance, neutral",2
patenkind,"neutral, realization",2
medizin,"gratitude, neutral, surprise",3
arzt,"admiration, caring, grief, neutral",4
berühmter,"admiration, neutral",2
reicher,"annoyance, neutral, surprise",3
abmachung,"amusement, neutral",2
darf,"anger, disapproval, joy, neutral, realization, sadness",6
heilen,"admiration, approval, neutral",3
kopf,"admiration, amusement, annoyance, approval, confusion, disgust, fear, joy, love, neutral, realization, sadness",12
füßen,"admiration, confusion, disgust, grief, joy, neutral",6
aus.,"love, neutral",2
stadt,"admiration, anger, annoyance, curiosity, gratitude, neutral, remorse",7
bricht,"anger, disgust, fear, joy, neutral, sadness",6
bürgermeister,"neutral, sadness",2
willen,"caring, gratitude, neutral, surprise",4
ebenfalls,"approval, gratitude, neutral, sadness",4
sterben,"admiration, anger, annoyance, caring, curiosity, love, neutral, sadness",8
darüber,"admiration, annoyance, disappointment, joy, neutral, remorse, sadness",7
aufgenommen,"admiration, neutral",2
verliebt,"admiration, love, neutral, realization, sadness",5
barbaras,"grief, neutral",2
retten,"anger, caring, fear, grief, neutral, sadness",6
daher,"admiration, annoyance, caring, neutral, surprise",5
abermals,"annoyance, caring, neutral",3
fast,"admiration, anger, curiosity, disgust, excitement, fear, grief, joy, neutral, sadness",10
erinnert,"joy, neutral",2
natur,"annoyance, neutral, pride",3
jugend,"neutral, sadness",2
weigert,"disappointment, neutral, sadness",3
