Token,EmotionCount,Emotions
weder,5,"admiration, annoyance, desire, neutral, optimism"
namen,8,"admiration, amusement, disappointment, excitement, gratitude, love, neutral, realization"
verraten,3,"anger, caring, neutral"
gesicht,10,"admiration, anger, confusion, curiosity, disgust, joy, nervousness, neutral, realization, sadness"
zeigen,2,"caring, neutral"
beide,7,"admiration, annoyance, approval, joy, love, neutral, optimism"
freiheit,5,"approval, curiosity, desire, joy, neutral"
zieht,2,"neutral, sadness"
daraufhin,7,"admiration, caring, disgust, gratitude, grief, neutral, realization"
maul,3,"disgust, love, neutral"
diamanten,2,"neutral, sadness"
präsentiert,2,"annoyance, neutral"
zunge,3,"approval, disgust, neutral"
nimmt,8,"admiration, annoyance, caring, disappointment, disgust, grief, neutral, surprise"
bekommen,6,"admiration, amusement, caring, gratitude, joy, neutral"
fingern,3,"joy, neutral, sadness"
begeistert,2,"excitement, neutral"
herz,18,"admiration, amusement, anger, annoyance, approval, caring, confusion, disgust, fear, gratitude, joy, love, neutral, optimism, pride, realization, sadness, surprise"
glück,15,"admiration, amusement, annoyance, approval, curiosity, desire, disappointment, fear, gratitude, joy, love, neutral, optimism, realization, sadness"
stehen,8,"admiration, amusement, annoyance, confusion, embarrassment, joy, neutral, sadness"
bleibt,6,"anger, caring, fear, neutral, optimism, sadness"
überzeugen,2,"admiration, neutral"
bald,16,"admiration, anger, annoyance, caring, curiosity, disgust, excitement, fear, gratitude, joy, love, neutral, optimism, pride, realization, sadness"
darauf,16,"admiration, amusement, anger, annoyance, caring, curiosity, disapproval, disgust, embarrassment, gratitude, grief, joy, love, neutral, realization, surprise"
letzte,7,"admiration, anger, caring, gratitude, love, neutral, surprise"
wer,16,"admiration, amusement, annoyance, approval, caring, curiosity, disapproval, fear, gratitude, joy, love, nervousness, neutral, optimism, realization, sadness"
wind,9,"admiration, approval, curiosity, fear, joy, neutral, realization, relief, sadness"
dritte,5,"annoyance, curiosity, fear, neutral, surprise"
führt,3,"annoyance, joy, neutral"
erwählt,2,"love, neutral"
erklärt,4,"caring, love, neutral, sadness"
dritten,3,"caring, nervousness, neutral"
jedoch,10,"admiration, amusement, annoyance, approval, joy, nervousness, neutral, optimism, sadness, surprise"
schon,19,"admiration, anger, annoyance, approval, caring, confusion, curiosity, desire, disgust, embarrassment, fear, joy, love, nervousness, neutral, pride, realization, sadness, surprise"
halb,3,"admiration, neutral, sadness"
junge,16,"admiration, amusement, annoyance, approval, desire, disappointment, disapproval, embarrassment, fear, gratitude, joy, love, neutral, realization, sadness, surprise"
grünem,2,"fear, neutral"
sinn,4,"admiration, desire, neutral, realization"
zauber,10,"admiration, annoyance, approval, gratitude, joy, love, neutral, optimism, sadness, surprise"
reiten,3,"fear, neutral, sadness"
nachdem,5,"admiration, anger, gratitude, neutral, sadness"
wenig,5,"admiration, annoyance, approval, joy, neutral"
konnten,3,"admiration, anger, neutral"
entzückt,2,"love, neutral"
jungen,18,"admiration, anger, annoyance, approval, caring, curiosity, desire, disappointment, disgust, embarrassment, fear, gratitude, grief, joy, neutral, optimism, realization, sadness"
letztes,2,"love, neutral"
mal,10,"admiration, amusement, annoyance, curiosity, fear, gratitude, love, neutral, relief, sadness"
versuchen,6,"amusement, annoyance, approval, love, neutral, sadness"
schönheit,8,"admiration, annoyance, curiosity, desire, fear, neutral, optimism, realization"
reich,12,"admiration, amusement, annoyance, approval, caring, disappointment, disgust, grief, joy, love, neutral, realization"
schloss,17,"admiration, amusement, anger, annoyance, caring, disappointment, embarrassment, excitement, fear, gratitude, joy, love, nervousness, neutral, realization, sadness, surprise"
dorf,13,"admiration, amusement, approval, caring, disapproval, excitement, fear, joy, love, neutral, realization, relief, sadness"
komme,3,"disappointment, joy, neutral"
verkündet,3,"admiration, amusement, neutral"
aufgaben,5,"amusement, annoyance, approval, desire, neutral"
erfüllt,8,"admiration, desire, disappointment, joy, love, neutral, pride, sadness"
sowie,3,"disapproval, neutral, surprise"
schickt,4,"embarrassment, fear, gratitude, neutral"
arbeiten,5,"anger, grief, love, neutral, sadness"
lässt,12,"admiration, approval, caring, desire, disappointment, fear, joy, love, neutral, realization, sadness, surprise"
sohn,14,"admiration, amusement, caring, confusion, disapproval, disgust, fear, gratitude, joy, love, neutral, optimism, realization, sadness"
platz,4,"fear, neutral, realization, sadness"
nehmen,8,"admiration, anger, annoyance, caring, confusion, neutral, relief, sadness"
sieht,8,"admiration, fear, joy, love, neutral, optimism, sadness, surprise"
lange,17,"admiration, anger, annoyance, approval, caring, curiosity, desire, disappointment, embarrassment, fear, joy, love, neutral, pride, realization, sadness, surprise"
hand,15,"admiration, amusement, annoyance, approval, caring, disgust, embarrassment, fear, gratitude, joy, love, neutral, optimism, realization, sadness"
tanzen,10,"admiration, amusement, anger, disapproval, disgust, embarrassment, joy, love, neutral, sadness"
später,8,"admiration, annoyance, approval, confusion, disappointment, love, neutral, realization"
königin,22,"admiration, amusement, anger, annoyance, approval, curiosity, desire, disappointment, disapproval, embarrassment, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, realization, remorse, sadness, surprise"
krank,4,"curiosity, love, neutral, sadness"
wurde,18,"admiration, amusement, anger, annoyance, disapproval, disgust, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, pride, realization, sadness, surprise"
gestorben,5,"admiration, grief, neutral, realization, sadness"
könig,28,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, pride, realization, relief, remorse, sadness, surprise"
schöne,10,"admiration, caring, curiosity, desire, disappointment, joy, neutral, realization, remorse, sadness"
zweiten,5,"admiration, disgust, nervousness, neutral, realization"
frau,24,"admiration, amusement, anger, annoyance, approval, caring, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, realization, sadness, surprise"
neue,7,"admiration, annoyance, disappointment, excitement, neutral, realization, remorse"
macht,16,"admiration, amusement, annoyance, approval, caring, curiosity, desire, disappointment, fear, joy, love, nervousness, neutral, optimism, realization, sadness"
kehrt,2,"neutral, sadness"
nie,9,"approval, disappointment, disgust, joy, love, neutral, realization, sadness, surprise"
zurück,19,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disappointment, disgust, excitement, fear, gratitude, joy, love, neutral, realization, remorse, sadness, surprise"
schneewittchen,17,"admiration, anger, annoyance, approval, curiosity, disapproval, excitement, fear, gratitude, grief, joy, love, neutral, optimism, realization, sadness, surprise"
lernt,2,"neutral, optimism"
namens,7,"admiration, annoyance, desire, grief, joy, neutral, realization"
jonathan,2,"gratitude, neutral"
kennen,2,"joy, neutral"
schlosses,5,"admiration, desire, gratitude, neutral, surprise"
essen,9,"admiration, anger, approval, disappointment, fear, joy, love, neutral, realization"
freunde,6,"admiration, annoyance, caring, fear, neutral, sadness"
stehlen,4,"anger, neutral, optimism, sadness"
fliehen,4,"disappointment, fear, neutral, sadness"
bittet,8,"anger, annoyance, desire, disappointment, fear, gratitude, love, neutral"
stiefmutter,12,"admiration, anger, annoyance, disgust, excitement, fear, grief, joy, neutral, realization, relief, sadness"
untertanen,2,"disappointment, neutral"
freundlich,7,"admiration, annoyance, disgust, joy, love, neutral, sadness"
behandeln,2,"fear, neutral"
gleichgültig,2,"joy, neutral"
böse,12,"admiration, anger, annoyance, curiosity, disappointment, disgust, embarrassment, fear, neutral, realization, sadness, surprise"
befiehlt,2,"annoyance, neutral"
eifersüchtig,2,"confusion, neutral"
schneewittchens,2,"admiration, neutral"
jäger,11,"admiration, anger, curiosity, disappointment, disgust, joy, love, neutral, realization, sadness, surprise"
absichten,2,"disappointment, neutral"
weiß,14,"admiration, approval, caring, confusion, desire, disapproval, excitement, joy, love, neutral, optimism, realization, sadness, surprise"
hütte,10,"admiration, annoyance, curiosity, excitement, fear, joy, love, neutral, realization, sadness"
sieben,15,"admiration, amusement, annoyance, approval, curiosity, desire, excitement, fear, gratitude, joy, love, neutral, realization, sadness, surprise"
zwergen,4,"admiration, love, neutral, sadness"
happy,2,"joy, neutral"
gehört,7,"caring, curiosity, disappointment, fear, gratitude, neutral, realization"
tage,5,"admiration, caring, joy, neutral, relief"
verbringen,3,"amusement, love, neutral"
erfährt,8,"admiration, anger, fear, love, neutral, remorse, sadness, surprise"
lebt,5,"admiration, annoyance, joy, neutral, sadness"
wachen,4,"admiration, caring, fear, neutral"
treffen,5,"disappointment, love, neutral, realization, sadness"
erkennen,3,"curiosity, neutral, realization"
bevor,9,"admiration, approval, confusion, disappointment, fear, joy, neutral, realization, sadness"
glaubt,3,"annoyance, caring, neutral"
gefangen,4,"anger, fear, neutral, sadness"
genommen,4,"anger, curiosity, neutral, remorse"
mittlerweile,2,"approval, neutral"
herausgefunden,2,"admiration, neutral"
verwandelt,8,"anger, annoyance, fear, gratitude, love, neutral, realization, sadness"
apfel,2,"love, neutral"
fluch,9,"admiration, annoyance, desire, embarrassment, fear, gratitude, love, neutral, sadness"
todes,3,"disappointment, neutral, sadness"
zwerge,9,"admiration, anger, annoyance, curiosity, joy, love, neutral, realization, sadness"
arbeit,13,"admiration, amusement, annoyance, approval, caring, confusion, curiosity, disappointment, fear, joy, neutral, optimism, realization"
gegangen,4,"approval, grief, joy, neutral"
häuschen,5,"admiration, curiosity, joy, love, neutral"
sei,17,"admiration, anger, annoyance, caring, curiosity, disapproval, embarrassment, fear, gratitude, grief, joy, love, neutral, optimism, realization, sadness, surprise"
stieftochter,3,"admiration, joy, neutral"
getötet,5,"anger, disappointment, disgust, neutral, realization"
gebracht,6,"admiration, annoyance, curiosity, neutral, realization, sadness"
süden,2,"desire, neutral"
tod,12,"admiration, amusement, anger, annoyance, approval, caring, grief, joy, love, neutral, realization, sadness"
fällt,7,"admiration, approval, curiosity, disgust, embarrassment, neutral, sadness"
zurückzieht,2,"disappointment, neutral"
finden,9,"admiration, annoyance, approval, caring, desire, disappointment, disapproval, neutral, sadness"
körper,2,"neutral, sadness"
rückkehr,3,"disappointment, joy, neutral"
erwacht,4,"admiration, annoyance, neutral, realization"
stürzen,2,"anger, neutral"
kammer,4,"caring, curiosity, joy, neutral"
tritt,2,"curiosity, neutral"
spiegel,9,"admiration, approval, curiosity, disgust, fear, grief, love, neutral, sadness"
zerstört,3,"annoyance, disappointment, neutral"
quelle,2,"nervousness, neutral"
kräfte,2,"annoyance, neutral"
glas,5,"fear, joy, neutral, optimism, sadness"
verschwindet,2,"neutral, realization"
zauberspiegel,3,"admiration, disappointment, neutral"
heiraten,7,"annoyance, desire, disapproval, excitement, joy, love, neutral"
hans,17,"admiration, amusement, anger, annoyance, approval, caring, curiosity, embarrassment, fear, gratitude, joy, love, neutral, optimism, realization, sadness, surprise"
jahren,10,"admiration, amusement, anger, approval, caring, disappointment, joy, love, neutral, sadness"
lehre,2,"neutral, realization"
mutter,18,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disappointment, disapproval, embarrassment, gratitude, grief, joy, love, neutral, optimism, realization, sadness"
ans,5,"admiration, joy, love, neutral, realization"
meer,5,"annoyance, approval, joy, love, neutral"
zurückkehren,2,"joy, neutral"
lohn,8,"admiration, annoyance, desire, disapproval, fear, neutral, remorse, sadness"
erhält,6,"admiration, disappointment, excitement, neutral, remorse, surprise"
klumpen,2,"neutral, surprise"
gold,13,"admiration, anger, annoyance, caring, curiosity, disapproval, excitement, fear, gratitude, love, neutral, sadness, surprise"
froh,4,"curiosity, joy, neutral, relief"
gelaunt,2,"admiration, neutral"
langen,6,"caring, curiosity, gratitude, love, neutral, pride"
unterwegs,3,"caring, gratitude, neutral"
händler,2,"disappointment, neutral"
tochter,18,"admiration, amusement, anger, annoyance, curiosity, desire, disappointment, disapproval, excitement, fear, gratitude, joy, love, neutral, optimism, realization, sadness, surprise"
elisabeth,7,"annoyance, approval, gratitude, joy, neutral, realization, surprise"
handel,4,"approval, fear, joy, neutral"
treiben,2,"disappointment, neutral"
großen,11,"admiration, amusement, curiosity, disappointment, fear, joy, love, nervousness, neutral, realization, sadness"
goldklumpen,4,"annoyance, disappointment, neutral, realization"
unangenehm,2,"embarrassment, neutral"
reise,5,"approval, caring, neutral, realization, sadness"
erste,9,"admiration, amusement, approval, curiosity, disapproval, excitement, love, neutral, optimism"
gelegenheit,2,"annoyance, neutral"
tausch,2,"disappointment, neutral"
beim,10,"admiration, desire, excitement, gratitude, joy, nervousness, neutral, realization, sadness, surprise"
goldes,2,"anger, neutral"
pferd,15,"admiration, anger, annoyance, approval, caring, curiosity, desire, disappointment, disgust, joy, love, neutral, optimism, realization, surprise"
glücklich,8,"amusement, desire, joy, love, neutral, optimism, realization, sadness"
mehr,17,"admiration, anger, annoyance, approval, confusion, curiosity, desire, disappointment, fear, grief, joy, love, neutral, optimism, realization, sadness, surprise"
selber,6,"admiration, desire, disgust, embarrassment, love, neutral"
laufen,9,"admiration, anger, annoyance, curiosity, disappointment, embarrassment, neutral, sadness, surprise"
müssen,6,"admiration, annoyance, caring, fear, neutral, sadness"
schneller,3,"admiration, neutral, pride"
schwer,7,"anger, disappointment, fear, joy, neutral, realization, sadness"
tragen,7,"admiration, annoyance, confusion, gratitude, neutral, realization, sadness"
zufrieden,4,"admiration, disappointment, joy, neutral"
ab,8,"admiration, anger, annoyance, disapproval, disgust, joy, neutral, sadness"
bauer,4,"approval, fear, joy, neutral"
kuh,5,"admiration, love, neutral, realization, surprise"
tier,10,"admiration, anger, annoyance, caring, disgust, gratitude, love, nervousness, neutral, realization"
besitzen,3,"admiration, love, neutral"
milch,4,"admiration, love, neutral, realization"
geben,8,"admiration, annoyance, caring, desire, disapproval, love, neutral, sadness"
danach,5,"admiration, annoyance, curiosity, desire, neutral"
ende,13,"amusement, annoyance, approval, caring, disappointment, grief, joy, love, neutral, optimism, realization, sadness, surprise"
tages,16,"admiration, amusement, anger, caring, curiosity, desire, disappointment, disgust, grief, joy, neutral, optimism, pride, realization, sadness, surprise"
trinken,11,"admiration, anger, annoyance, approval, disapproval, gratitude, joy, love, nervousness, neutral, realization"
erst,10,"admiration, anger, annoyance, curiosity, fear, love, nervousness, neutral, optimism, realization"
bemerkt,4,"gratitude, neutral, realization, sadness"
gar,13,"admiration, amusement, anger, annoyance, curiosity, disapproval, disgust, fear, joy, love, nervousness, neutral, sadness"
gibt,11,"admiration, disappointment, embarrassment, excitement, gratitude, joy, love, neutral, realization, sadness, surprise"
schwein,2,"fear, neutral"
karl,2,"admiration, neutral"
erkennt,7,"admiration, annoyance, curiosity, joy, love, neutral, realization"
einfach,2,"embarrassment, neutral"
erzählt,6,"admiration, approval, confusion, excitement, neutral, sadness"
wäre,16,"admiration, anger, annoyance, approval, caring, curiosity, desire, disgust, embarrassment, fear, joy, love, neutral, realization, sadness, surprise"
deshalb,6,"annoyance, caring, disapproval, love, neutral, pride"
gans,8,"admiration, amusement, annoyance, curiosity, fear, gratitude, joy, neutral"
weiteren,2,"neutral, surprise"
scherenschleifer,2,"joy, neutral"
mühsam,2,"anger, neutral"
kommt,15,"admiration, annoyance, approval, curiosity, disappointment, disapproval, disgust, excitement, fear, gratitude, joy, love, neutral, realization, sadness"
brunnen,10,"admiration, amusement, curiosity, disapproval, disgust, gratitude, joy, neutral, realization, sadness"
schleifstein,2,"joy, neutral"
hinein,8,"admiration, anger, curiosity, disgust, excitement, joy, neutral, sadness"
drosselbart,8,"admiration, amusement, annoyance, curiosity, embarrassment, neutral, optimism, remorse"
königstochter,12,"admiration, amusement, annoyance, caring, curiosity, disappointment, fear, joy, love, neutral, realization, sadness"
verspottet,2,"admiration, neutral"
bewerber,2,"disappointment, neutral"
bemerkung,2,"gratitude, neutral"
reichen,5,"admiration, annoyance, fear, love, neutral"
wegen,6,"admiration, anger, disgust, joy, neutral, sadness"
„,24,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, joy, love, nervousness, neutral, optimism, realization, remorse, sadness, surprise"
“,25,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, neutral, optimism, realization, remorse, sadness, surprise"
prinzessin,24,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, neutral, realization, remorse, sadness, surprise"
endlich,12,"admiration, anger, annoyance, caring, curiosity, desire, joy, love, neutral, optimism, realization, sadness"
verheiraten,3,"desire, neutral, realization"
geld,6,"admiration, annoyance, approval, disappointment, joy, neutral"
langsam,3,"annoyance, approval, neutral"
reagiert,4,"annoyance, disgust, fear, neutral"
ersten,12,"admiration, amusement, anger, annoyance, curiosity, disgust, gratitude, love, nervousness, neutral, realization, sadness"
bettler,9,"anger, annoyance, disapproval, joy, love, neutral, realization, sadness, surprise"
nächsten,13,"admiration, caring, curiosity, desire, disappointment, disapproval, excitement, gratitude, joy, nervousness, neutral, realization, sadness"
morgen,13,"admiration, amusement, curiosity, disappointment, embarrassment, fear, gratitude, joy, love, neutral, realization, sadness, surprise"
schloß,3,"admiration, amusement, neutral"
plan,2,"approval, neutral"
verkleidet,6,"anger, annoyance, disgust, love, neutral, realization"
stelle,4,"annoyance, caring, love, neutral"
schwur,2,"anger, neutral"
fühlt,5,"joy, love, neutral, pride, realization"
prächtigen,4,"admiration, fear, neutral, surprise"
wissen,7,"admiration, caring, curiosity, desire, fear, love, neutral"
wem,5,"annoyance, caring, curiosity, neutral, realization"
gehöre,4,"annoyance, curiosity, disgust, neutral"
antwortet,2,"admiration, neutral"
meint,13,"admiration, annoyance, approval, confusion, disapproval, embarrassment, gratitude, joy, love, neutral, optimism, realization, sadness"
oh,2,"gratitude, neutral"
arme,9,"admiration, amusement, caring, disgust, grief, joy, nervousness, neutral, sadness"
jungfrau,8,"admiration, desire, disgust, excitement, fear, neutral, realization, sadness"
zart,2,"admiration, neutral"
hätt,3,"admiration, neutral, surprise"
drosselbart.,2,"annoyance, neutral"
spiel,4,"approval, fear, neutral, realization"
wiederholt,2,"annoyance, neutral"
königs,14,"admiration, anger, curiosity, disappointment, disapproval, embarrassment, joy, love, neutral, optimism, pride, realization, sadness, surprise"
gewohnt,2,"love, neutral"
sofort,7,"admiration, caring, curiosity, love, neutral, realization, sadness"
hart,4,"amusement, neutral, pride, sadness"
dinge,5,"admiration, caring, joy, neutral, optimism"
entsetzen,2,"neutral, realization"
wider,3,"admiration, neutral, sadness"
erwarten,4,"excitement, gratitude, neutral, sadness"
schicksal,7,"admiration, caring, disappointment, neutral, optimism, realization, sadness"
versucht,8,"anger, approval, disappointment, disgust, fear, neutral, realization, sadness"
bewältigen,2,"approval, neutral"
besonders,6,"admiration, approval, disgust, nervousness, neutral, sadness"
gut,10,"admiration, caring, disapproval, disgust, fear, gratitude, love, neutral, realization, sadness"
geschirr,3,"admiration, curiosity, neutral"
menschen,16,"admiration, amusement, anger, annoyance, approval, curiosity, desire, disapproval, disgust, fear, joy, love, neutral, optimism, realization, sadness"
verkaufen,3,"admiration, desire, neutral"
mannes,5,"admiration, disapproval, joy, neutral, optimism"
küchenmagd,3,"annoyance, embarrassment, neutral"
großem,2,"disgust, neutral"
hält,6,"caring, curiosity, disapproval, joy, neutral, surprise"
zeit,16,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disappointment, disgust, gratitude, joy, love, neutral, realization, sadness, surprise"
gekommen,12,"admiration, anger, caring, curiosity, excitement, joy, love, nervousness, neutral, optimism, realization, sadness"
tatsächlich,4,"admiration, approval, neutral, surprise"
verheiratet,2,"love, neutral"
prachtvollen,2,"desire, neutral"
hochzeit,11,"admiration, amusement, caring, disappointment, disgust, excitement, joy, love, neutral, realization, surprise"
standesgemäß,2,"disapproval, neutral"
ähnlich,3,"love, neutral, sadness"
inzwischen,8,"admiration, annoyance, caring, grief, neutral, optimism, realization, sadness"
erscheint,10,"admiration, amusement, annoyance, caring, desire, disapproval, joy, love, neutral, surprise"
festlich,2,"joy, neutral"
gekleidet,3,"admiration, joy, neutral"
strahlend,3,"admiration, love, neutral"
gevatter,3,"annoyance, love, neutral"
kind,20,"admiration, amusement, anger, annoyance, approval, caring, desire, disappointment, disapproval, disgust, excitement, fear, grief, joy, love, nervousness, neutral, optimism, realization, sadness"
jörg,2,"grief, neutral"
gott,11,"admiration, amusement, desire, disappointment, fear, gratitude, love, neutral, realization, sadness, surprise"
teufel,13,"amusement, anger, annoyance, caring, confusion, curiosity, disappointment, disgust, fear, gratitude, love, neutral, realization"
abgelehnt,2,"disappointment, neutral"
mache,3,"admiration, caring, neutral"
verführen,2,"approval, neutral"
paten,2,"annoyance, neutral"
patenkind,2,"neutral, realization"
medizin,3,"gratitude, neutral, surprise"
arzt,4,"admiration, caring, grief, neutral"
berühmter,2,"admiration, neutral"
reicher,3,"annoyance, neutral, surprise"
abmachung,2,"amusement, neutral"
darf,6,"anger, disapproval, joy, neutral, realization, sadness"
heilen,3,"admiration, approval, neutral"
kopf,12,"admiration, amusement, annoyance, approval, confusion, disgust, fear, joy, love, neutral, realization, sadness"
füßen,6,"admiration, confusion, disgust, grief, joy, neutral"
aus.,2,"love, neutral"
stadt,7,"admiration, anger, annoyance, curiosity, gratitude, neutral, remorse"
