Token,Emotions,EmotionCount
„,"admiration, amusement, anger, annoyance, approval, confusion, curiosity, desire, excitement, fear, joy, love, neutral, optimism, pride, sadness",16
“,"admiration, amusement, anger, approval, confusion, curiosity, desire, fear, grief, joy, love, neutral, optimism, pride, sadness",15
beiden,"admiration, amusement, annoyance, approval, desire, disapproval, excitement, gratitude, grief, joy, love, neutral, realization, sadness",14
teufel,"anger, curiosity, disgust, excitement, neutral",5
unbedingt,"excitement, neutral",2
sehen,"admiration, amusement, annoyance, approval, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, neutral, realization, sadness, surprise",17
gestalt,"admiration, neutral, realization",3
truhe,"admiration, neutral, surprise",3
sitzen,"admiration, amusement, approval, caring, neutral",5
tatsächlich,"neutral, realization",2
jemanden,"caring, fear, neutral",3
küster,"admiration, approval, excitement, neutral, surprise",5
dorfes,"grief, neutral, realization",3
aussieht,"annoyance, neutral",2
besitzen,"amusement, neutral",2
allerdings,"disapproval, joy, love, neutral",4
wasser,"admiration, approval, caring, curiosity, desire, disgust, fear, gratitude, joy, neutral, pride, remorse, sadness, surprise",14
werfen,"caring, neutral, pride",3
lässt,"admiration, annoyance, approval, joy, love, neutral, sadness, surprise",8
unterwegs,"fear, neutral",2
frei,"admiration, approval, curiosity, disappointment, excitement, joy, neutral, realization, sadness",9
erfährt,"annoyance, approval, neutral, realization",4
bringt,"admiration, disappointment, love, neutral",4
schönen,"admiration, approval, desire, disapproval, gratitude, love, neutral, sadness",8
verkaufen,"neutral, optimism, surprise",3
denkt,"admiration, neutral",2
teuer,"admiration, neutral",2
stadt,"admiration, amusement, anger, approval, joy, love, neutral, realization, sadness, surprise",10
finden,"admiration, amusement, anger, annoyance, curiosity, disappointment, fear, joy, neutral, optimism, realization",11
kehrt,"joy, neutral, pride, surprise",4
herberge,"admiration, neutral",2
voll,"admiration, anger, fear, gratitude, neutral",5
mitgenommen,"admiration, neutral",2
gibt,"admiration, annoyance, approval, caring, love, neutral, realization",7
wirt,"admiration, joy, neutral",3
trägt,"admiration, neutral",2
ja,"admiration, amusement, anger, annoyance, approval, confusion, curiosity, disappointment, disapproval, excitement, fear, gratitude, joy, love, neutral, realization, sadness",17
darinnen,"admiration, neutral",2
wirklich,"admiration, confusion, curiosity, desire, neutral, sadness",6
schenkt,"gratitude, neutral, realization",3
wirtshaus,"admiration, disappointment, neutral",3
tochter,"admiration, amusement, annoyance, curiosity, disappointment, joy, neutral, realization, sadness",9
fluss,"admiration, anger, neutral",3
gerade,"admiration, annoyance, approval, curiosity, disgust, excitement, fear, gratitude, neutral, sadness",10
bringen,"admiration, annoyance, caring, desire, grief, joy, neutral, optimism",8
plötzlich,"curiosity, joy, love, neutral, realization, surprise",6
fällt,"approval, curiosity, disappointment, neutral, surprise",5
versteckt,"neutral, surprise",2
wiederfinden,"admiration, neutral",2
inzwischen,"neutral, realization, sadness, surprise",4
hof,"admiration, love, neutral",3
gejagt,"annoyance, neutral, realization",3
sohn,"admiration, desire, disapproval, love, neutral, optimism, realization",7
joe,"neutral, realization",2
beide,"admiration, approval, curiosity, desire, disappointment, love, neutral, optimism, remorse",9
kinder,"admiration, amusement, anger, approval, disappointment, joy, love, neutral, surprise",9
zunächst,"amusement, approval, neutral",3
aufgebrachte,"fear, neutral",2
menge,"fear, neutral, realization, surprise",4
versammelt,"disappointment, neutral",2
gefängnis,"caring, neutral",2
ebenfalls,"admiration, neutral",2
haywood,"desire, neutral, realization",3
dutton,"neutral, realization",2
molly,"desire, disappointment, neutral, realization",4
rechtzeitig,"gratitude, neutral",2
kommen,"admiration, approval, desire, fear, joy, love, neutral, realization, sadness",9
beschließt,"excitement, neutral",2
häuser,"fear, joy, neutral",3
schneekönigin,"admiration, curiosity, disappointment, disapproval, grief, love, neutral, optimism, realization",9
prophezeiung,"neutral, realization",2
sterne,"admiration, neutral",2
aufs,"admiration, amusement, neutral",3
neue,"admiration, annoyance, approval, joy, neutral, optimism",6
geboren,"disapproval, fear, joy, neutral, sadness",5
schwarzen,"admiration, annoyance, joy, neutral, realization",5
schwert,"admiration, caring, disgust, neutral",4
eis,"admiration, fear, love, neutral, realization, sadness",6
zerschlägt,"annoyance, neutral",2
grünen,"admiration, disapproval, neutral, sadness",4
stein,"admiration, annoyance, caring, fear, neutral",5
krone,"admiration, disgust, neutral",3
dunkelheit,"admiration, disgust, neutral, relief",4
bedeckt,"disgust, neutral",2
besitz,"grief, neutral, realization",3
gar,"admiration, amusement, annoyance, confusion, disappointment, disapproval, fear, joy, love, neutral, optimism, realization, sadness, surprise",14
haupt,"admiration, joy, neutral",3
herrscher,"admiration, disappointment, disgust, neutral",4
welt,"admiration, amusement, caring, curiosity, desire, disappointment, embarrassment, excitement, grief, joy, love, neutral, optimism, realization, sadness, surprise",16
wäre,"admiration, amusement, annoyance, curiosity, disappointment, embarrassment, excitement, fear, joy, love, neutral, optimism, sadness",13
mehr,"admiration, amusement, anger, annoyance, approval, caring, desire, disappointment, disapproval, disgust, fear, grief, joy, love, neutral, realization, relief, sadness",18
vorher,"annoyance, neutral",2
sonne,"admiration, annoyance, caring, desire, disapproval, gratitude, joy, love, neutral, realization, sadness, surprise",12
mond,"amusement, desire, joy, neutral",4
silber,"disgust, love, neutral",3
zeit,"admiration, approval, curiosity, excitement, fear, joy, love, neutral, realization, sadness, surprise",11
strand,"admiration, approval, caring, neutral, realization",5
gerda,"admiration, amusement, anger, caring, curiosity, disappointment, disapproval, disgust, excitement, fear, gratitude, joy, love, neutral, realization, relief, sadness",17
kai,"admiration, joy, love, neutral, optimism",5
beim,"admiration, curiosity, love, neutral, realization",5
spielen,"admiration, amusement, fear, joy, love, neutral",6
spieldose,"neutral, realization",2
drei,"admiration, anger, fear, love, neutral",5
goldenen,"admiration, curiosity, neutral",3
bekommt,"love, neutral",2
erhält,"anger, curiosity, gratitude, love, neutral",5
nachts,"admiration, neutral, sadness",3
daraufhin,"amusement, annoyance, embarrassment, neutral, realization",5
glühen,"admiration, neutral",2
beginnen,"admiration, embarrassment, gratitude, neutral",4
wirft,"amusement, neutral, optimism",3
kalte,"fear, neutral",2
erde,"admiration, amusement, annoyance, disgust, fear, neutral, sadness",7
hinunter,"approval, curiosity, fear, neutral, remorse",5
morgen,"admiration, annoyance, confusion, curiosity, desire, disapproval, excitement, gratitude, joy, love, neutral, realization, surprise",13
betrübt,"admiration, disappointment, disgust, joy, neutral, sadness",6
straße,"admiration, annoyance, neutral, sadness",4
suche,"caring, fear, love, neutral",4
boot,"admiration, neutral",2
einsamen,"fear, neutral",2
hexe,"admiration, amusement, anger, annoyance, approval, disapproval, disgust, gratitude, joy, neutral, sadness",11
hilfe,"annoyance, gratitude, love, neutral",4
zuckerherzen,"love, neutral",2
gebracht,"disappointment, neutral, realization",3
vergessen,"admiration, disappointment, neutral, realization",4
einsame,"fear, love, neutral, realization",4
bleibt,"admiration, desire, neutral, sadness",4
geheimnis,"admiration, neutral, realization",3
erscheinen,"admiration, anger, annoyance, love, neutral, surprise",6
erzählen,"admiration, approval, gratitude, love, neutral",5
mädchen,"admiration, amusement, annoyance, approval, caring, curiosity, desire, disappointment, disgust, embarrassment, fear, joy, love, neutral, optimism, realization, sadness, surprise",18
tanzen,"admiration, amusement, fear, joy, neutral",5
müssen,"approval, curiosity, neutral, realization",4
rosen,"admiration, annoyance, curiosity, excitement, joy, neutral",6
wänden,"amusement, disgust, love, neutral",4
verwandelt,"admiration, anger, annoyance, neutral",4
außerdem,"admiration, neutral",2
raten,"neutral, optimism",2
rat,"love, neutral",2
erwischt,"curiosity, neutral",2
trotzdem,"love, neutral, surprise",3
entkommen,"desire, fear, neutral",3
woraufhin,"annoyance, love, neutral",3
augenblicklich,"confusion, joy, neutral",3
kalten,"admiration, curiosity, joy, neutral",4
derweil,"fear, neutral",2
prinzen,"admiration, anger, caring, curiosity, desire, disappointment, excitement, fear, joy, love, neutral, realization, sadness, surprise",14
erzählt,"admiration, neutral, sadness",3
mag,"approval, curiosity, disgust, joy, neutral",5
bittet,"admiration, love, nervousness, neutral",4
darum,"admiration, annoyance, disapproval, neutral",4
alte,"admiration, anger, approval, disappointment, disapproval, excitement, fear, gratitude, joy, love, neutral, optimism, realization, sadness, surprise",15
kraft,"admiration, curiosity, neutral, realization",4
unterdessen,"love, neutral",2
zweiten,"disappointment, neutral",2
schloss,"admiration, amusement, disapproval, joy, love, neutral, surprise",7
prinzessin,"admiration, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disgust, excitement, fear, gratitude, joy, love, neutral, optimism, realization, sadness, surprise",20
leben,"admiration, approval, caring, curiosity, desire, disappointment, excitement, fear, joy, love, neutral, realization, sadness, surprise",14
heraus,"admiration, anger, disappointment, fear, neutral, realization, sadness",7
neues,"approval, neutral, realization",3
kleid,"admiration, annoyance, love, neutral",4
geschenk,"admiration, excitement, love, neutral",4
sowie,"admiration, confusion, fear, neutral",4
paar,"admiration, amusement, disapproval, joy, neutral, optimism, realization",7
reise,"caring, disapproval, neutral",3
jedoch,"admiration, amusement, annoyance, embarrassment, fear, neutral",6
verliert,"annoyance, neutral, realization, sadness",4
dafür,"admiration, caring, excitement, gratitude, love, neutral, optimism, realization, sadness, surprise",10
deren,"admiration, approval, gratitude, joy, love, neutral, optimism",7
dritten,"admiration, neutral",2
räuber,"amusement, disapproval, neutral",3
schlafen,"curiosity, disapproval, love, neutral",4
norden,"admiration, neutral",2
begibt,"caring, fear, love, neutral",4
dorthin,"admiration, neutral",2
gestoßen,"disgust, neutral",2
begegnet,"neutral, realization",2
einst,"admiration, disappointment, disgust, gratitude, love, neutral, realization",7
licht,"admiration, annoyance, approval, joy, neutral, realization, relief, sadness",8
miteinander,"admiration, amusement, joy, neutral",4
rangen,"neutral, sadness",2
fiel,"annoyance, disappointment, gratitude, joy, neutral, sadness",6
danach,"admiration, curiosity, disgust, fear, neutral, optimism",6
langsam,"admiration, neutral, realization",3
ewig,"curiosity, neutral",2
darin,"admiration, disgust, joy, love, neutral, sadness",6
sobald,"admiration, anger, neutral, realization",4
nahe,"caring, neutral, realization, sadness",4
käme,"curiosity, neutral, realization",3
hände,"admiration, anger, approval, caring, desire, disgust, gratitude, joy, neutral, sadness",10
wärme,"admiration, amusement, joy, neutral, realization",5
strömt,"neutral, pride",2
menschen,"admiration, amusement, anger, annoyance, curiosity, desire, disappointment, disapproval, disgust, excitement, fear, joy, love, neutral, optimism, realization, sadness",17
entführte,"amusement, neutral",2
machte,"admiration, disappointment, fear, joy, neutral, sadness",6
stunde,"neutral, sadness",2
zerbricht,"caring, neutral",2
weißen,"admiration, annoyance, caring, confusion, gratitude, love, neutral, sadness",8
kurz,"grief, neutral",2
darauf,"admiration, amusement, grief, joy, neutral, realization, sadness, surprise",8
verzweifelt,"fear, love, neutral",3
fasst,"caring, neutral",2
hand,"admiration, approval, caring, confusion, disappointment, fear, love, neutral, realization, sadness",10
bewegen,"neutral, realization",2
zeigt,"admiration, amusement, neutral",3
entgegen,"fear, neutral",2
guten,"admiration, excitement, gratitude, joy, love, neutral",6
hält,"admiration, neutral",2
lange,"admiration, amusement, annoyance, curiosity, disgust, fear, joy, love, neutral, realization, sadness",11
daran,"admiration, approval, desire, joy, love, neutral, sadness, surprise",8
setzen,"admiration, neutral",2
erwacht,"admiration, love, neutral, sadness",4
gerdas,"fear, love, neutral, sadness",4
zerstört,"confusion, neutral",2
märchen,"admiration, disappointment, neutral",3
armer,"admiration, anger, desire, disappointment, neutral, sadness",6
präsentiert,"neutral, realization",2
abend,"annoyance, approval, desire, excitement, fear, gratitude, joy, neutral, realization",9
fortgehen,"neutral, realization",2
nacht,"admiration, amusement, annoyance, approval, caring, desire, disappointment, excitement, fear, joy, love, neutral, sadness",13
präsentieren,"admiration, neutral",2
puppen,"neutral, sadness",2
soldat,"admiration, amusement, annoyance, approval, desire, fear, gratitude, joy, neutral, optimism, realization",11
wurde,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disgust, fear, gratitude, grief, joy, love, neutral, optimism, realization, remorse, sadness, surprise",22
geht,"admiration, annoyance, disapproval, excitement, fear, love, neutral, pride, sadness",9
arm,"curiosity, neutral, realization, sadness",4
trifft,"admiration, caring, disappointment, neutral, realization",5
hinab,"approval, curiosity, neutral, sadness",4
gold,"admiration, approval, confusion, disgust, gratitude, love, neutral, realization, sadness, surprise",10
tornister,"admiration, anger, gratitude, neutral",4
verspricht,"love, neutral, optimism",3
zurück,"admiration, anger, approval, desire, disappointment, excitement, fear, joy, neutral, pride, realization, sadness, surprise",13
versprechen,"annoyance, neutral, sadness",3
eilt,"love, neutral",2
fort,"admiration, anger, annoyance, caring, confusion, desire, disapproval, neutral, sadness",9
soldaten,"admiration, annoyance, disappointment, excitement, gratitude, love, neutral, realization",8
gelangt,"curiosity, neutral",2
besiegt,"love, neutral",2
marktplatz,"admiration, neutral",2
sofort,"admiration, fear, love, neutral, realization, surprise",6
verliebt,"admiration, fear, love, neutral, realization, sadness",6
viele,"admiration, amusement, annoyance, approval, caring, neutral, sadness",7
freier,"admiration, neutral",2
vater,"admiration, annoyance, fear, grief, joy, love, neutral, optimism, realization, sadness, surprise",11
königreich,"admiration, desire, disappointment, joy, love, neutral, realization",7
geld,"admiration, amusement, anger, approval, curiosity, desire, disappointment, embarrassment, fear, joy, love, neutral, optimism",13
reichen,"admiration, neutral",2
sodass,"annoyance, neutral",2
hotel,"admiration, neutral, sadness",3
steht,"admiration, approval, confusion, joy, love, neutral, pride, realization",8
gute,"admiration, approval, disappointment, gratitude, neutral, optimism, realization",7
feuerzeug,"admiration, amusement, curiosity, disappointment, gratitude, neutral, optimism",7
gerufen,"annoyance, neutral",2
wunsch,"desire, disapproval, joy, neutral, sadness",5
müsse,"admiration, disapproval, neutral, sadness",4
wünscht,"desire, neutral",2
her,"admiration, curiosity, fear, love, neutral",5
kurze,"admiration, neutral",2
stube,"admiration, approval, curiosity, disgust, love, neutral, sadness",7
schlafende,"joy, neutral",2
glaubt,"curiosity, neutral",2
träume,"amusement, disappointment, embarrassment, neutral, sadness",5
spaziergang,"caring, neutral",2
erfreut,"admiration, joy, neutral",3
schnee,"admiration, amusement, curiosity, joy, neutral",5
sommer,"admiration, amusement, curiosity, disappointment, gratitude, neutral, sadness",7
küssen,"admiration, desire, love, neutral",4
erkennt,"admiration, embarrassment, joy, neutral, realization",5
traum,"admiration, annoyance, desire, excitement, fear, joy, neutral",7
empört,"anger, annoyance, neutral",3
davon,"admiration, amusement, approval, curiosity, desire, disappointment, fear, joy, love, neutral, optimism, pride, realization, sadness",14
bett,"admiration, amusement, disappointment, disapproval, fear, joy, love, neutral",8
genug,"admiration, annoyance, approval, curiosity, love, neutral, realization",7
hochzeit,"admiration, desire, joy, neutral, realization",5
besteht,"love, neutral, pride",3
stellt,"anger, curiosity, neutral, realization, sadness",5
knifflige,"gratitude, neutral",2
frage,"annoyance, confusion, curiosity, embarrassment, fear, gratitude, neutral",7
zauberers,"gratitude, neutral",2
richtig,"admiration, approval, disappointment, joy, love, neutral",6
beantworten,"gratitude, neutral",2
darf,"admiration, annoyance, approval, confusion, disappointment, disapproval, neutral, pride, sadness",9
heiraten,"curiosity, desire, disappointment, excitement, joy, love, neutral, sadness",8
befiehlt,"curiosity, neutral",2
bemerkt,"joy, neutral",2
liegt,"admiration, annoyance, approval, neutral",4
kurzen,"admiration, neutral, sadness",3
erscheint,"admiration, disappointment, fear, neutral, realization",5
bereits,"admiration, neutral, realization",3
löst,"annoyance, neutral",2
unsichtbar,"admiration, joy, neutral",3
gefangenen,"neutral, realization",2
könig,"admiration, annoyance, approval, confusion, curiosity, disappointment, disgust, excitement, joy, love, neutral, optimism, pride, realization, sadness, surprise",16
zaubert,"admiration, neutral",2
nase,"annoyance, disgust, love, neutral",4
möchte,"admiration, amusement, annoyance, curiosity, desire, disappointment, excitement, joy, neutral, sadness",10
schicksal,"neutral, realization",2
heirat,"admiration, neutral",2
wege,"confusion, joy, neutral, surprise",4
aufgabe,"fear, neutral",2
erfüllt,"admiration, disapproval, joy, neutral, sadness",5
verlangt,"anger, excitement, neutral",3
prinz,"admiration, curiosity, desire, disappointment, disapproval, excitement, joy, love, neutral, sadness, surprise",11
geliebte,"love, neutral",2
suchen,"amusement, neutral",2
letztendlich,"admiration, neutral",2
ehe,"admiration, neutral, surprise",3
liebt,"curiosity, love, neutral, realization",4
eröffnet,"disappointment, neutral",2
könne,"admiration, approval, desire, disapproval, disgust, excitement, neutral, surprise",8
sei,"admiration, annoyance, approval, curiosity, desire, disappointment, disapproval, disgust, fear, gratitude, neutral, realization, sadness, surprise",14
ort,"joy, neutral",2
versteht,"anger, neutral",2
puppentheater,"joy, neutral",2
lebt,"annoyance, neutral",2
frau,"admiration, amusement, annoyance, approval, caring, curiosity, fear, joy, love, neutral, realization, sadness, surprise",13
kindern,"gratitude, neutral, realization",3
montag,"admiration, neutral",2
samstag,"admiration, neutral",2
hans,"gratitude, joy, love, neutral, surprise",5
feld,"admiration, grief, neutral, realization",4
familie,"desire, disappointment, disgust, neutral",4
haut,"admiration, neutral, sadness",3
markt,"amusement, neutral, realization",3
aufgrund,"approval, disgust, neutral",3
übernachten,"disappointment, neutral",2
schickt,"admiration, neutral",2
boden,"admiration, disappointment, fear, neutral, realization, sadness",6
empfängt,"nervousness, neutral",2
behauptet,"annoyance, neutral",2
kuchen,"admiration, neutral",2
befinden,"neutral, optimism",2
sogar,"admiration, desire, neutral",3
``,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, joy, love, neutral, optimism, pride, realization, remorse, sadness, surprise",25
'',"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, joy, love, neutral, optimism, pride, realization, sadness, surprise",24
sitzt,"admiration, approval, confusion, disapproval, love, neutral",6
dankbarkeit,"admiration, neutral",2
schuhe,"admiration, desire, disappointment, fear, joy, neutral, realization, sadness, surprise",9
daheim,"admiration, joy, neutral",3
nachdem,"caring, disappointment, neutral, pride",4
toten,"annoyance, caring, neutral",3
bekommen,"admiration, amusement, annoyance, caring, confusion, curiosity, disappointment, excitement, joy, love, neutral, optimism, realization, sadness, surprise",15
erschlägt,"annoyance, neutral",2
versucht,"anger, annoyance, joy, neutral, surprise",5
wegen,"admiration, anger, neutral, remorse",4
preisvorstellungen,"amusement, neutral",2
zuvor,"admiration, amusement, anger, fear, neutral, realization",6
kirche,"admiration, disapproval, fear, neutral",4
davor,"anger, fear, neutral",3
stehen,"admiration, curiosity, disgust, fear, joy, love, neutral",7
steine,"caring, disappointment, neutral",3
feind,"fear, neutral, realization",3
geworfen,"admiration, neutral",2
wenig,"admiration, joy, neutral, realization, sadness",5
wiese,"admiration, neutral",2
neben,"love, neutral",2
berichtet,"admiration, love, neutral",3
grund,"admiration, curiosity, neutral",3
flusses,"curiosity, neutral",2
fee,"gratitude, joy, love, neutral, sadness, surprise",6
geschenkt,"joy, neutral",2
ertrinkt,"caring, neutral",2
meerjungfrau,"admiration, amusement, neutral, realization",4
–,"admiration, amusement, annoyance, approval, caring, disappointment, gratitude, joy, love, neutral, realization, sadness, surprise",13
auge,"admiration, amusement, neutral",3
meerkönigs,"approval, neutral",2
stelle,"approval, desire, joy, neutral, surprise",5
see,"admiration, disappointment, fear, gratitude, joy, neutral",6
wilde,"annoyance, love, neutral",3
töchter,"approval, neutral",2
glänzenden,"admiration, approval, excitement, neutral",4
perlen,"neutral, pride",2
heute,"excitement, neutral",2
geburtstag,"admiration, excitement, joy, neutral",4
singen,"admiration, curiosity, desire, disappointment, excitement, neutral",6
singt,"love, neutral",2
liebe,"admiration, approval, caring, desire, joy, love, neutral, realization",8
voller,"admiration, amusement, fear, gratitude, joy, love, neutral, pride, realization",9
trauer,"admiration, joy, love, neutral, sadness",5
bricht,"love, neutral",2
treibt,"anger, neutral",2
retten,"admiration, approval, desire, neutral, sadness",5
augen,"admiration, amusement, desire, disappointment, disapproval, excitement, fear, love, neutral, realization, sadness, surprise",12
schiff,"caring, joy, neutral, realization, sadness, surprise",6
meereskönig,"neutral, realization",2
lassen,"admiration, annoyance, approval, disapproval, embarrassment, joy, love, neutral, sadness",9
gleitet,"neutral, sadness",2
sanft,"curiosity, neutral",2
herab,"anger, fear, love, neutral, sadness",5
blaue,"admiration, disgust, neutral, surprise",4
haar,"admiration, confusion, neutral",3
schwester,"admiration, amusement, approval, caring, joy, love, neutral, sadness",8
erste,"annoyance, curiosity, disapproval, neutral",4
seejungfrau,"joy, neutral, sadness",3
schwestern,"admiration, amusement, annoyance, desire, fear, joy, neutral, sadness",8
großmutter,"admiration, anger, annoyance, approval, disappointment, embarrassment, joy, love, neutral, sadness",10
königin,"admiration, amusement, annoyance, caring, confusion, desire, disappointment, excitement, joy, love, neutral",11
nordlicht,"admiration, neutral",2
gelben,"admiration, joy, neutral",3
meer,"admiration, amusement, curiosity, disappointment, love, neutral, sadness",7
feuer,"admiration, disgust, neutral, realization",4
singenden,"joy, neutral",2
fischen,"fear, neutral",2
blumen,"admiration, amusement, anger, annoyance, disapproval, disgust, gratitude, love, neutral, sadness",10
schafen,"admiration, neutral",2
fragt,"embarrassment, joy, neutral",3
nixe,"admiration, caring, excitement, neutral, surprise",5
verbleib,"love, neutral",2
mutter,"admiration, caring, curiosity, disappointment, disgust, fear, joy, love, neutral, realization, sadness, surprise",12
jahre,"disappointment, neutral, optimism",3
alt,"love, neutral, sadness",3
meere,"admiration, annoyance, approval, curiosity, desire, joy, neutral, realization",8
blickt,"amusement, neutral",2
oberfläche,"disappointment, neutral",2
schwimmt,"admiration, neutral",2
vergleicht,"neutral, surprise",2
aussehen,"gratitude, neutral",2
fest,"admiration, approval, desire, disappointment, disgust, excitement, fear, joy, neutral, sadness",10
bevor,"approval, neutral",2
bäumen,"admiration, approval, disgust, neutral",4
kuss,"love, neutral",2
königliche,"disappointment, fear, neutral",3
meeresfamilie,"fear, neutral",2
kostbaren,"annoyance, desire, neutral",3
rote,"admiration, annoyance, neutral",3
inneren,"disappointment, neutral",2
gefunden,"amusement, joy, love, neutral, realization, surprise",6
roten,"admiration, caring, desire, disappointment, disgust, joy, neutral",7
schenkte,"admiration, curiosity, desire, disappointment, gratitude, neutral",6
wunderschöne,"admiration, fear, neutral",3
stimme,"admiration, approval, neutral, realization, sadness",5
hören,"admiration, annoyance, approval, desire, disappointment, excitement, joy, neutral",8
